uberon_id	xref
UBERON:0000946	BTO:0000564
UBERON:0000947	BTO:0000135
UBERON:0000948	BTO:0000562
UBERON:0000950	BTO:0000536
UBERON:0000955	BTO:0000142
UBERON:0000956	BTO:0000233
UBERON:0000961	BTO:0001831
UBERON:0000964	BTO:0000286
UBERON:0000965	BTO:0000723
UBERON:0000966	BTO:0001175
UBERON:0000970	BTO:0000439
UBERON:0000971	BTO:0001922
UBERON:0000972	BTO:0000074
UBERON:0000974	BTO:0000420
UBERON:0000975	BTO:0001302
UBERON:0000977	BTO:0001791
UBERON:0000978	BTO:0000721
UBERON:0000979	BTO:0001252
UBERON:0000981	BTO:0001284
UBERON:0000982	BTO:0001686
UBERON:0000988	BTO:0001101
UBERON:0000989	BTO:0000405
UBERON:0000990	BTO:0000081
UBERON:0000991	BTO:0000534
UBERON:0000992	BTO:0000975
UBERON:0000993	BTO:0000980
UBERON:0000994	BTO:0001273
UBERON:0000995	BTO:0001424
UBERON:0000996	BTO:0000243
UBERON:0000997	BTO:0003101
UBERON:0000998	BTO:0001234
UBERON:0000999	BTO:0001580
UBERON:0001000	BTO:0001427
UBERON:0001002	BTO:0001600
UBERON:0001003	BTO:0000404
UBERON:0001004	BTO:0000203
UBERON:0001007	BTO:0000058
UBERON:0001008	BTO:0001244
UBERON:0001008	BTO:0003092
UBERON:0001011	BTO:0000572
UBERON:0001013	BTO:0001487
UBERON:0001015	BTO:0000887
UBERON:0001016	BTO:0001484
UBERON:0001017	BTO:0000227
UBERON:0001019	BTO:0002191
UBERON:0001021	BTO:0000925
UBERON:0001021	BTO:0001027
UBERON:0001031	BTO:0003048
UBERON:0001037	BTO:0001501
UBERON:0001040	BTO:0001471
UBERON:0001041	BTO:0000507
UBERON:0001042	BTO:0001049
UBERON:0001043	BTO:0000959
UBERON:0001044	BTO:0001203
UBERON:0001045	BTO:0000863
UBERON:0001046	BTO:0000510
UBERON:0001048	BTO:0001886
UBERON:0001049	BTO:0001057
UBERON:0001051	BTO:0001740
UBERON:0001052	BTO:0001158
UBERON:0001053	BTO:0002106
UBERON:0001054	BTO:0000810
UBERON:0001056	BTO:0000432
UBERON:0001057	BTO:0000291
UBERON:0001058	BTO:0002675
UBERON:0001064	BTO:0002362
UBERON:0001065	BTO:0004554
UBERON:0001066	BTO:0003625
UBERON:0001070	BTO:0004696
UBERON:0001072	BTO:0002682
UBERON:0001087	BTO:0003080
UBERON:0001088	BTO:0001419
UBERON:0001089	BTO:0001254
UBERON:0001090	BTO:0001339
UBERON:0001091	BTO:0000397
UBERON:0001098	BTO:0001741
UBERON:0001103	BTO:0000341
UBERON:0001111	BTO:0005281
UBERON:0001128	BTO:0005125
UBERON:0001130	BTO:0000818
UBERON:0001132	BTO:0000997
UBERON:0001133	BTO:0000199
UBERON:0001135	BTO:0001260
UBERON:0001136	BTO:0002422
UBERON:0001137	BTO:0001713
UBERON:0001138	BTO:0002783
UBERON:0001140	BTO:0002681
UBERON:0001144	BTO:0002678
UBERON:0001153	BTO:0000166
UBERON:0001154	BTO:0000084
UBERON:0001155	BTO:0000269
UBERON:0001156	BTO:0000270
UBERON:0001157	BTO:0000272
UBERON:0001158	BTO:0000641
UBERON:0001159	BTO:0000645
UBERON:0001160	BTO:0000502
UBERON:0001161	BTO:0000505
UBERON:0001162	BTO:0000198
UBERON:0001165	BTO:0001732
UBERON:0001166	BTO:0001146
UBERON:0001179	BTO:0001782
UBERON:0001182	BTO:0002303
UBERON:0001183	BTO:0002302
UBERON:0001184	BTO:0001165
UBERON:0001193	BTO:0004307
UBERON:0001199	BTO:0001308
UBERON:0001200	BTO:0002110
UBERON:0001204	BTO:0001259
UBERON:0001205	BTO:0002112
UBERON:0001208	BTO:0002111
UBERON:0001211	BTO:0001784
UBERON:0001212	BTO:0002376
UBERON:0001213	BTO:0003121
UBERON:0001215	BTO:0002782
UBERON:0001225	BTO:0001166
UBERON:0001228	BTO:0003925
UBERON:0001229	BTO:0000333
UBERON:0001230	BTO:0002297
UBERON:0001231	BTO:0000343
UBERON:0001232	BTO:0000761
UBERON:0001235	BTO:0000045
UBERON:0001236	BTO:0000049
UBERON:0001242	BTO:0000642
UBERON:0001245	BTO:0001680
UBERON:0001255	BTO:0001418
UBERON:0001256	BTO:0001462
UBERON:0001262	BTO:0000647
UBERON:0001264	BTO:0000988
UBERON:0001268	BTO:0001031
UBERON:0001276	BTO:0000500
UBERON:0001277	BTO:0000781
UBERON:0001283	BTO:0002841
UBERON:0001285	BTO:0000924
UBERON:0001288	BTO:0004608
UBERON:0001290	BTO:0000055
UBERON:0001293	BTO:0001746
UBERON:0001294	BTO:0001745
UBERON:0001295	BTO:0001422
UBERON:0001296	BTO:0000907
UBERON:0001298	BTO:0001877
UBERON:0001299	BTO:0003118
UBERON:0001300	BTO:0003098
UBERON:0001301	BTO:0000408
UBERON:0001304	BTO:0004483
UBERON:0001305	BTO:0000475
UBERON:0001308	BTO:0004666
UBERON:0001309	BTO:0004667
UBERON:0001310	BTO:0000841
UBERON:0001322	BTO:0001221
UBERON:0001328	BTO:0000548
UBERON:0001329	BTO:0003158
UBERON:0001332	BTO:0001113
UBERON:0001333	BTO:0004089
UBERON:0001334	BTO:0004088
UBERON:0001335	BTO:0003163
UBERON:0001340	BTO:0005088
UBERON:0001343	BTO:0001235
UBERON:0001344	BTO:0000422
UBERON:0001347	BTO:0001456
UBERON:0001348	BTO:0000156
UBERON:0001359	BTO:0000237
UBERON:0001363	BTO:0003271
UBERON:0001372	BTO:0001878
UBERON:0001373	BTO:0001215
UBERON:0001374	BTO:0003418
UBERON:0001375	BTO:0001236
UBERON:0001377	BTO:0001149
UBERON:0001378	BTO:0001564
UBERON:0001379	BTO:0001563
UBERON:0001380	BTO:0004913
UBERON:0001381	BTO:0003177
UBERON:0001383	BTO:0000722
UBERON:0001384	BTO:0004348
UBERON:0001385	BTO:0001382
UBERON:0001386	BTO:0000436
UBERON:0001388	BTO:0000506
UBERON:0001389	BTO:0001265
UBERON:0001393	BTO:0004343
UBERON:0001401	BTO:0001651
UBERON:0001402	BTO:0001650
UBERON:0001403	BTO:0001649
UBERON:0001405	BTO:0002624
UBERON:0001434	BTO:0001486
UBERON:0001437	BTO:0000413
UBERON:0001443	BTO:0001368
UBERON:0001446	BTO:0002346
UBERON:0001447	BTO:0002343
UBERON:0001448	BTO:0002347
UBERON:0001450	BTO:0002355
UBERON:0001451	BTO:0002356
UBERON:0001452	BTO:0002360
UBERON:0001453	BTO:0002359
UBERON:0001454	BTO:0002358
UBERON:0001455	BTO:0002357
UBERON:0001456	BTO:0003369
UBERON:0001460	BTO:0001435
UBERON:0001464	BTO:0001457
UBERON:0001465	BTO:0003595
UBERON:0001466	BTO:0002348
UBERON:0001473	BTO:0000752
UBERON:0001474	BTO:0000140
UBERON:0001486	BTO:0001502
UBERON:0001488	BTO:0004706
UBERON:0001495	BTO:0000023
UBERON:0001498	BTO:0000477
UBERON:0001507	BTO:0003419
UBERON:0001508	BTO:0000157
UBERON:0001515	BTO:0000157
UBERON:0001516	BTO:0002976
UBERON:0001523	BTO:0001246
UBERON:0001532	BTO:0004697
UBERON:0001547	BTO:0003272
UBERON:0001555	BTO:0000511
UBERON:0001555	BTO:0000545
